,time,loc,op,status
0,35962,0.0,0.0,0
1,35963,0.0,0.075,0
2,35964,0.0,0.075,0
3,35965,0.0,0.075,0
4,35966,0.0,0.075,0
5,35967,0.0,0.075,0
6,35968,0.0,0.075,0
7,35969,0.0,0.075,0
8,35970,0.0,0.075,0
9,35971,0.0,0.075,0
10,35972,0.0,0.075,0
11,35973,0.0,0.075,0
12,35974,0.0,0.075,0
13,35975,0.0,0.075,0
14,35976,0.0,0.075,0
15,35977,0.0,0.075,0
16,35978,0.0,0.075,0
17,35979,0.0,0.075,0
18,35980,0.0,0.075,0
19,35981,0.0,0.075,0
20,35982,0.0,0.075,0
21,35983,0.0,0.075,0
22,35984,0.0,0.075,0
23,35985,0.0,0.075,0
24,35986,0.0,0.075,0
25,35987,0.0,0.075,0
26,35988,0.0,0.075,0
27,35989,0.0,0.075,0
28,35990,0.0,0.075,0
29,35991,0.0,0.075,0
30,35992,0.0,0.075,0
31,35993,0.0,0.075,0
32,35994,0.0,0.075,0
33,35995,0.0,0.075,0
34,35996,0.0,0.075,0
35,35997,0.0,0.075,0
36,35998,0.0,0.075,0
37,35999,0.006380369220180829,0.075,0
38,36000,0.012760738440361657,0.075,0
39,36001,0.019141107660542486,0.075,0
40,36002,0.025521476880723315,0.075,0
41,36003,0.031901846100904144,0.075,0
42,36004,0.03828221532108497,0.075,0
43,36005,0.0446625845412658,0.075,0
44,36006,0.05104295376144663,0.075,0
45,36007,0.05742332298162746,0.075,0
46,36008,0.06380369220180829,0.075,0
47,36009,0.07018406142198912,0.075,0
48,36010,0.07656443064216994,0.075,0
49,36011,0.08294479986235077,0.075,0
50,36012,0.0893251690825316,0.075,0
51,36013,0.09570553830271243,0.075,0
52,36014,0.10208590752289326,0.075,0
53,36015,0.10846627674307409,0.075,0
54,36016,0.11484664596325492,0.075,0
55,36017,0.12122701518343575,0.075,0
56,36018,0.12760738440361657,0.075,0
57,36019,0.1339877536237974,0.075,0
58,36020,0.1403681228439782,0.075,0
59,36021,0.14674849206415902,0.075,0
60,36022,0.15312886128433983,0.075,0
61,36023,0.15950923050452065,0.075,0
62,36024,0.16588959972470146,0.075,0
63,36025,0.17226996894488228,0.075,0
64,36026,0.1786503381650631,0.075,0
65,36027,0.1850307073852439,0.075,0
66,36028,0.19141107660542472,0.075,0
67,36029,0.19779144582560554,0.075,0
68,36030,0.20417181504578635,0.075,0
69,36031,0.21055218426596717,0.075,0
70,36032,0.21693255348614798,0.075,0
71,36033,0.2233129227063288,0.075,0
72,36034,0.2296932919265096,0.075,0
73,36035,0.23607366114669043,0.075,0
74,36036,0.24245403036687124,0.075,0
75,36037,0.24883439958705206,0.075,0
76,36038,0.2552147688072329,0.075,0
77,36039,0.2615951380274137,0.075,0
78,36040,0.2679755072475945,0.075,0
79,36041,0.2743558764677753,0.075,0
80,36042,0.28073624568795613,0.075,0
81,36043,0.28711661490813695,0.075,0
82,36044,0.29349698412831776,0.075,0
83,36045,0.2998773533484986,0.075,0
84,36046,0.3062577225686794,0.075,0
85,36047,0.3126380917888602,0.075,0
86,36048,0.319018461009041,0.075,0
87,36049,0.32539883022922184,0.075,0
88,36050,0.33177919944940265,0.075,0
