,time,loc,op,status
0,44685,0.0,0.0,0
1,44686,0.0,0.175,0
2,44687,0.0,0.175,0
3,44688,0.0,0.175,0
4,44689,0.0,0.175,0
5,44690,0.0,0.175,0
6,44691,0.0,0.175,0
7,44692,0.0,0.175,0
8,44693,0.0,0.175,0
9,44694,0.0,0.175,0
10,44695,0.0,0.175,0
11,44696,0.0,0.175,0
12,44697,0.0,0.175,0
13,44698,0.0,0.175,0
14,44699,0.0,0.175,0
15,44700,0.0,0.175,0
16,44701,0.0,0.175,0
17,44702,0.0,0.175,0
18,44703,0.0,0.175,0
19,44704,0.0,0.175,0
20,44705,0.0,0.175,0
21,44706,0.0,0.175,0
22,44707,0.0,0.175,0
23,44708,0.0,0.175,0
24,44709,0.0,0.175,0
25,44710,0.0,0.175,0
26,44711,0.0,0.175,0
27,44712,0.0,0.175,0
28,44713,0.0,0.175,0
29,44714,0.0,0.175,0
30,44715,0.0,0.175,0
31,44716,0.0,0.175,0
32,44717,0.0,0.175,0
33,44718,0.0,0.175,0
34,44719,0.0,0.175,0
35,44720,0.0,0.175,0
36,44721,0.0,0.175,0
37,44722,0.0,0.175,0
38,44723,0.0,0.175,0
39,44724,0.0,0.175,0
40,44725,0.0,0.175,0
41,44726,0.0,0.175,0
42,44727,0.0,0.175,0
43,44728,0.0,0.175,0
44,44729,0.0,0.175,0
45,44730,0.0,0.175,0
46,44731,0.0,0.175,0
47,44732,0.0,0.175,0
48,44733,0.0,0.175,0
49,44734,0.0,0.175,0
50,44735,0.0,0.175,0
51,44736,0.0,0.175,0
52,44737,0.0,0.175,0
53,44738,0.0,0.175,0
54,44739,0.0,0.175,0
55,44740,0.0,0.175,0
56,44741,0.0,0.175,0
57,44742,0.0,0.175,0
58,44743,0.0,0.175,0
59,44744,0.0,0.175,0
60,44745,0.0,0.175,0
61,44746,0.0,0.175,0
62,44747,0.0,0.175,0
63,44748,0.0,0.175,0
64,44749,0.0,0.175,0
65,44750,0.0,0.175,0
66,44751,0.0,0.175,0
67,44752,0.0,0.175,0
68,44753,0.0,0.175,0
69,44754,0.0,0.175,0
70,44755,0.0,0.175,0
71,44756,0.0,0.175,0
72,44757,0.0,0.175,0
73,44758,0.0,0.175,0
74,44759,0.0,0.175,0
75,44760,0.0,0.175,0
76,44761,0.0,0.175,0
77,44762,0.0,0.175,0
78,44763,0.0,0.175,0
79,44764,0.0,0.175,0
80,44765,0.0,0.175,0
81,44766,0.0,0.175,0
82,44767,0.0,0.175,0
83,44768,0.0,0.175,0
84,44769,0.0,0.175,0
85,44770,0.006523621203595365,0.175,0
86,44771,0.01304724240719073,0.175,0
87,44772,0.019570863610786096,0.175,0
88,44773,0.02609448481438146,0.175,0
89,44774,0.03261810601797682,0.175,0
90,44775,0.039141727221572185,0.175,0
91,44776,0.04566534842516755,0.175,0
92,44777,0.05218896962876291,0.175,0
93,44778,0.058712590832358275,0.175,0
94,44779,0.06523621203595364,0.175,0
95,44780,0.07175983323954901,0.175,0
96,44781,0.07828345444314438,0.175,0
97,44782,0.08480707564673975,0.175,0
98,44783,0.09133069685033512,0.175,0
99,44784,0.0978543180539305,0.175,0
100,44785,0.10437793925752586,0.175,0
101,44786,0.11090156046112123,0.175,0
102,44787,0.1174251816647166,0.175,0
103,44788,0.12394880286831197,0.175,0
104,44789,0.13047242407190734,0.175,0
105,44790,0.13699604527550271,0.175,0
106,44791,0.14351966647909808,0.175,0
107,44792,0.15004328768269345,0.175,0
108,44793,0.15656690888628882,0.175,0
109,44794,0.1630905300898842,0.175,0
110,44795,0.16961415129347956,0.175,0
111,44796,0.17613777249707493,0.175,0
112,44797,0.1826613937006703,0.175,0
113,44798,0.18918501490426567,0.175,0
114,44799,0.19570863610786104,0.175,0
115,44800,0.20223225731145641,0.175,0
116,44801,0.20875587851505178,0.175,0
117,44802,0.21527949971864715,0.175,0
118,44803,0.22180312092224252,0.175,0
119,44804,0.2283267421258379,0.175,0
120,44805,0.23485036332943326,0.175,0
121,44806,0.24137398453302863,0.175,0
122,44807,0.247897605736624,0.175,0
123,44808,0.25442122694021935,0.175,0
124,44809,0.2609448481438147,0.175,0
125,44810,0.26746846934741003,0.175,0
126,44811,0.2739920905510054,0.175,0
127,44812,0.2805157117546007,0.175,0
128,44813,0.28703933295819606,0.175,0
129,44814,0.2935629541617914,0.175,0
130,44815,0.30008657536538674,0.175,0
131,44816,0.3066101965689821,0.175,0
132,44817,0.3131338177725774,0.175,0
133,44818,0.31965743897617277,0.175,0
134,44819,0.3261810601797681,0.175,0
135,44820,0.33270468138336345,0.175,0
136,44821,0.3392283025869588,0.175,0
137,44822,0.34575192379055414,0.175,0
138,44823,0.3522755449941495,0.175,0
139,44824,0.3587991661977448,0.175,0
140,44825,0.36532278740134017,0.175,0
141,44826,0.3718464086049355,0.175,0
142,44827,0.37837002980853085,0.175,0
143,44828,0.3848936510121262,0.175,0
144,44829,0.39141727221572153,0.175,0
145,44830,0.3979408934193169,0.175,0
146,44831,0.4044645146229122,0.175,0
147,44832,0.41098813582650756,0.175,0
148,44833,0.4175117570301029,0.175,0
149,44834,0.42403537823369825,0.175,0
150,44835,0.4305589994372936,0.175,0
151,44836,0.43708262064088893,0.175,0
152,44837,0.4436062418444843,0.175,0
153,44838,0.4501298630480796,0.175,0
154,44839,0.45665348425167496,0.175,0
155,44840,0.4631771054552703,0.175,0
156,44841,0.46970072665886564,0.175,0
157,44842,0.476224347862461,0.175,0
158,44843,0.4827479690660563,0.175,0
159,44844,0.48927159026965167,0.175,0
160,44845,0.495795211473247,0.175,0
161,44846,0.495795211473247,0.2,0
162,44847,0.495795211473247,0.2,0
163,44848,0.495795211473247,0.2,0
164,44849,0.495795211473247,0.2,0
165,44850,0.495795211473247,0.2,0
166,44851,0.495795211473247,0.2,0
167,44852,0.495795211473247,0.2,0
168,44853,0.495795211473247,0.2,0
169,44854,0.495795211473247,0.2,0
170,44855,0.495795211473247,0.2,0
171,44856,0.495795211473247,0.2,0
172,44857,0.495795211473247,0.2,0
173,44858,0.501843224912883,0.2,0
174,44859,0.507891238352519,0.2,0
175,44860,0.513939251792155,0.2,0
176,44861,0.5199872652317911,0.2,0
177,44862,0.5260352786714271,0.2,0
178,44863,0.5320832921110631,0.2,0
179,44864,0.5381313055506991,0.2,0
180,44865,0.5441793189903351,0.2,0
181,44866,0.5502273324299711,0.2,0
182,44867,0.5562753458696071,0.2,0
183,44868,0.5623233593092432,0.2,0
184,44869,0.5683713727488792,0.2,0
185,44870,0.5744193861885152,0.2,0
186,44871,0.5804673996281512,0.2,0
187,44872,0.5865154130677872,0.2,0
188,44873,0.5925634265074232,0.2,0
189,44874,0.5986114399470592,0.2,0
190,44875,0.6046594533866952,0.2,0
191,44876,0.6107074668263313,0.2,0
192,44877,0.6167554802659673,0.2,0
193,44878,0.6228034937056033,0.2,0
194,44879,0.6288515071452393,0.2,0
195,44880,0.6348995205848753,0.2,0
196,44881,0.6409475340245113,0.2,0
197,44882,0.6469955474641473,0.2,0
198,44883,0.6530435609037833,0.2,0
199,44884,0.6590915743434194,0.2,0
200,44885,0.6651395877830554,0.2,0
201,44886,0.6711876012226914,0.2,0
202,44887,0.6772356146623274,0.2,0
203,44888,0.6832836281019634,0.2,0
204,44889,0.6893316415415994,0.2,0
205,44890,0.6953796549812354,0.2,0
206,44891,0.7014276684208715,0.2,0
207,44892,0.7074756818605075,0.2,0
208,44893,0.7135236953001435,0.2,0
209,44894,0.7195717087397795,0.2,0
210,44895,0.7256197221794155,0.2,0
211,44896,0.7316677356190515,0.2,0
212,44897,0.7377157490586875,0.2,0
213,44898,0.7437637624983235,0.2,0
214,44899,0.7498117759379596,0.2,0
215,44900,0.7558597893775956,0.2,0
216,44901,0.7619078028172316,0.2,0
217,44902,0.7679558162568676,0.2,0
218,44903,0.7740038296965036,0.2,0
219,44904,0.7800518431361396,0.2,0
220,44905,0.7860998565757756,0.2,0
221,44906,0.7921478700154116,0.2,0
222,44907,0.7981958834550477,0.2,0
223,44908,0.8042438968946837,0.2,0
224,44909,0.8102919103343197,0.2,0
225,44910,0.8163399237739557,0.2,0
226,44911,0.8223879372135917,0.2,0
227,44912,0.8284359506532277,0.2,0
228,44913,0.8344839640928637,0.2,0
229,44914,0.8405319775324998,0.2,0
230,44915,0.8465799909721358,0.2,0
231,44916,0.8526280044117718,0.2,0
232,44917,0.8586760178514078,0.2,0
233,44918,0.8647240312910438,0.2,0
234,44919,0.8707720447306798,0.2,0
235,44920,0.8768200581703158,0.2,0
236,44921,0.8828680716099518,0.2,0
237,44922,0.8889160850495879,0.2,0
238,44923,0.8949640984892239,0.2,0
239,44924,0.8949640984892239,0.3,0
240,44925,0.8949640984892239,0.3,0
241,44926,0.8949640984892239,0.3,0
242,44927,0.8949640984892239,0.3,0
243,44928,0.8949640984892239,0.3,0
244,44929,0.8949640984892239,0.3,0
245,44930,0.8949640984892239,0.3,0
246,44931,0.8949640984892239,0.3,0
247,44932,0.8949640984892239,0.3,0
248,44933,0.8949640984892239,0.3,0
249,44934,0.8949640984892239,0.3,0
250,44935,0.8949640984892239,0.3,0
251,44936,0.8949640984892239,0.3,0
252,44937,0.8949640984892239,0.3,0
253,44938,0.8949640984892239,0.3,0
254,44939,0.8949640984892239,0.3,0
255,44940,0.8949640984892239,0.3,0
256,44941,0.8949640984892239,0.3,0
257,44942,0.8949640984892239,0.3,0
258,44943,0.8949640984892239,0.3,0
259,44944,0.8949640984892239,0.3,0
