,time,loc,op,stop
0,47996,0.0,0.0,-1
1,47997,0.0,0.125,54009
2,47998,0.0,0.125,54009
3,47999,0.0,0.125,54009
4,48000,0.0,0.125,54009
5,48001,0.0,0.125,54009
6,48002,0.0,0.125,54009
7,48003,0.0,0.125,54009
8,48004,0.0,0.125,54009
9,48005,0.0,0.125,54009
10,48006,0.0,0.125,54009
11,48007,0.0,0.125,54009
12,48008,0.0,0.125,54009
13,48009,0.0,0.125,54009
14,48010,0.0,0.125,54009
15,48011,0.0,0.125,54009
16,48012,0.0,0.125,54009
17,48013,0.0,0.125,54009
18,48014,0.0,0.125,54009
19,48015,0.0,0.125,54009
20,48016,0.0,0.125,54009
21,48017,0.0,0.125,54009
22,48018,0.0,0.125,54009
23,48019,0.0,0.125,54009
24,48020,0.0,0.125,54009
25,48021,0.0,0.125,54009
26,48022,0.0,0.125,54009
27,48023,0.0,0.125,54009
28,48024,0.0,0.125,54009
29,48025,0.0,0.125,54009
30,48026,0.0,0.125,54009
31,48027,0.0,0.125,54009
32,48028,0.0,0.125,54009
33,48029,0.0,0.125,54009
34,48030,0.0,0.125,54009
35,48031,0.0,0.125,54009
36,48032,0.0,0.125,54009
37,48033,0.0,0.125,54009
38,48034,0.0,0.125,54009
39,48035,0.0,0.125,54009
40,48036,0.0,0.125,54009
41,48037,0.0,0.125,54009
42,48038,0.0,0.125,54009
43,48039,0.0,0.125,54009
44,48040,0.0,0.125,54009
45,48041,0.0,0.125,54009
46,48042,0.0,0.125,54009
47,48043,0.005111111111111111,0.125,-1
48,48044,0.010222222222222223,0.125,-1
49,48045,0.015333333333333334,0.125,-1
50,48046,0.020444444444444446,0.125,-1
51,48047,0.025555555555555557,0.125,-1
52,48048,0.03066666666666667,0.125,-1
53,48049,0.03577777777777778,0.125,-1
54,48050,0.04088888888888889,0.125,-1
55,48051,0.046,0.125,-1
56,48052,0.05111111111111111,0.125,-1
57,48053,0.056222222222222215,0.125,-1
58,48054,0.06133333333333332,0.125,-1
59,48055,0.06644444444444443,0.125,-1
60,48056,0.07155555555555554,0.125,-1
61,48057,0.07666666666666665,0.125,-1
62,48058,0.08177777777777775,0.125,-1
63,48059,0.08688888888888886,0.125,-1
64,48060,0.09199999999999997,0.125,-1
65,48061,0.09711111111111108,0.125,-1
66,48062,0.10222222222222219,0.125,-1
67,48063,0.1073333333333333,0.125,-1
68,48064,0.1124444444444444,0.125,-1
69,48065,0.11755555555555551,0.125,-1
70,48066,0.12266666666666662,0.125,-1
71,48067,0.12777777777777774,0.125,-1
72,48068,0.13288888888888886,0.125,-1
73,48069,0.13799999999999998,0.125,-1
74,48070,0.1431111111111111,0.125,-1
75,48071,0.14822222222222223,0.125,-1
76,48072,0.15333333333333335,0.125,-1
77,48073,0.15844444444444447,0.125,-1
78,48074,0.1635555555555556,0.125,-1
79,48075,0.16866666666666671,0.125,-1
80,48076,0.17377777777777784,0.125,-1
81,48077,0.17888888888888896,0.125,-1
82,48078,0.18400000000000008,0.125,-1
83,48079,0.1891111111111112,0.125,-1
84,48080,0.19422222222222232,0.125,-1
85,48081,0.19933333333333345,0.125,-1
86,48082,0.20444444444444457,0.125,-1
87,48083,0.2095555555555557,0.125,-1
88,48084,0.2146666666666668,0.125,-1
89,48085,0.21977777777777793,0.125,-1
90,48086,0.22488888888888905,0.125,-1
91,48087,0.23000000000000018,0.125,-1
92,48088,0.2351111111111113,0.125,-1
93,48089,0.24022222222222242,0.125,-1
94,48090,0.24533333333333354,0.125,-1
95,48091,0.25044444444444464,0.125,-1
96,48092,0.25555555555555576,0.125,-1
97,48093,0.2606666666666669,0.125,-1
98,48094,0.265777777777778,0.125,-1
99,48095,0.2708888888888891,0.125,-1
100,48096,0.27600000000000025,0.125,-1
101,48097,0.28111111111111137,0.125,-1
102,48098,0.2862222222222225,0.125,-1
103,48099,0.2913333333333336,0.125,-1
104,48100,0.29644444444444473,0.125,-1
105,48101,0.30155555555555585,0.125,-1
106,48102,0.306666666666667,0.125,-1
107,48103,0.3117777777777781,0.125,-1
108,48104,0.3168888888888892,0.125,-1
109,48105,0.32200000000000034,0.125,-1
110,48106,0.32711111111111146,0.125,-1
111,48107,0.3322222222222226,0.125,-1
112,48108,0.3373333333333337,0.125,-1
113,48109,0.34244444444444483,0.125,-1
114,48110,0.34755555555555595,0.125,-1
115,48111,0.3526666666666671,0.125,-1
116,48112,0.3577777777777782,0.125,-1
117,48113,0.3628888888888893,0.125,-1
118,48114,0.36800000000000044,0.125,-1
119,48115,0.37311111111111156,0.125,-1
120,48116,0.3782222222222227,0.125,-1
121,48117,0.3833333333333338,0.125,-1
122,48118,0.3884444444444449,0.125,-1
123,48119,0.39355555555555605,0.125,-1
124,48120,0.39866666666666717,0.125,-1
