,time,loc,op,stop
0,48801,0.0,0.0,-1
1,48802,0.0,0.125,54009
2,48803,0.0,0.125,54009
3,48804,0.0,0.125,54009
4,48805,0.0,0.125,54009
5,48806,0.0,0.125,54009
6,48807,0.0,0.125,54009
7,48808,0.0,0.125,54009
8,48809,0.0,0.125,54009
9,48810,0.0,0.125,54009
10,48811,0.0,0.125,54009
11,48812,0.0,0.125,54009
12,48813,0.0,0.125,54009
13,48814,0.0,0.125,54009
14,48815,0.0,0.125,54009
15,48816,0.0,0.125,54009
16,48817,0.0,0.125,54009
17,48818,0.0,0.125,54009
18,48819,0.0,0.125,54009
19,48820,0.0,0.125,54009
20,48821,0.0,0.125,54009
21,48822,0.0,0.125,54009
22,48823,0.0,0.125,54009
23,48824,0.0,0.125,54009
24,48825,0.0,0.125,54009
25,48826,0.0,0.125,54009
26,48827,0.0,0.125,54009
27,48828,0.0,0.125,54009
28,48829,0.0,0.125,54009
29,48830,0.0,0.125,54009
30,48831,0.0,0.125,54009
31,48832,0.0,0.125,54009
32,48833,0.0,0.125,54009
33,48834,0.0,0.125,54009
34,48835,0.0,0.125,54009
35,48836,0.0,0.125,54009
36,48837,0.0,0.125,54009
37,48838,0.0,0.125,54009
38,48839,0.0,0.125,54009
39,48840,0.0,0.125,54009
40,48841,0.0,0.125,54009
41,48842,0.0,0.125,54009
42,48843,0.0,0.125,54009
43,48844,0.0,0.125,54009
44,48845,0.0,0.125,54009
45,48846,0.0,0.125,54009
46,48847,0.0,0.125,54009
47,48848,0.005222222222222223,0.125,-1
48,48849,0.010444444444444445,0.125,-1
49,48850,0.01566666666666667,0.125,-1
50,48851,0.02088888888888889,0.125,-1
51,48852,0.026111111111111113,0.125,-1
52,48853,0.03133333333333334,0.125,-1
53,48854,0.03655555555555556,0.125,-1
54,48855,0.04177777777777779,0.125,-1
55,48856,0.047000000000000014,0.125,-1
56,48857,0.05222222222222224,0.125,-1
57,48858,0.057444444444444465,0.125,-1
58,48859,0.06266666666666669,0.125,-1
59,48860,0.06788888888888892,0.125,-1
60,48861,0.07311111111111114,0.125,-1
61,48862,0.07833333333333337,0.125,-1
62,48863,0.08355555555555559,0.125,-1
63,48864,0.08877777777777782,0.125,-1
64,48865,0.09400000000000004,0.125,-1
65,48866,0.09922222222222227,0.125,-1
66,48867,0.10444444444444449,0.125,-1
67,48868,0.10966666666666672,0.125,-1
68,48869,0.11488888888888894,0.125,-1
69,48870,0.12011111111111117,0.125,-1
70,48871,0.12533333333333338,0.125,-1
71,48872,0.1305555555555556,0.125,-1
72,48873,0.1357777777777778,0.125,-1
73,48874,0.14100000000000001,0.125,-1
74,48875,0.14622222222222223,0.125,-1
75,48876,0.15144444444444444,0.125,-1
76,48877,0.15666666666666665,0.125,-1
77,48878,0.16188888888888886,0.125,-1
78,48879,0.16711111111111107,0.125,-1
79,48880,0.17233333333333328,0.125,-1
80,48881,0.1775555555555555,0.125,-1
81,48882,0.1827777777777777,0.125,-1
82,48883,0.18799999999999992,0.125,-1
83,48884,0.19322222222222213,0.125,-1
84,48885,0.19844444444444434,0.125,-1
85,48886,0.20366666666666655,0.125,-1
86,48887,0.20888888888888876,0.125,-1
87,48888,0.21411111111111097,0.125,-1
88,48889,0.21933333333333319,0.125,-1
89,48890,0.2245555555555554,0.125,-1
90,48891,0.2297777777777776,0.125,-1
91,48892,0.23499999999999982,0.125,-1
92,48893,0.24022222222222203,0.125,-1
93,48894,0.24544444444444424,0.125,-1
94,48895,0.2506666666666665,0.125,-1
95,48896,0.2558888888888887,0.125,-1
96,48897,0.26111111111111096,0.125,-1
97,48898,0.2663333333333332,0.125,-1
98,48899,0.27155555555555544,0.125,-1
99,48900,0.2767777777777777,0.125,-1
100,48901,0.2819999999999999,0.125,-1
101,48902,0.28722222222222216,0.125,-1
102,48903,0.2924444444444444,0.125,-1
103,48904,0.29766666666666663,0.125,-1
104,48905,0.3028888888888889,0.125,-1
105,48906,0.3081111111111111,0.125,-1
106,48907,0.31333333333333335,0.125,-1
107,48908,0.3185555555555556,0.125,-1
108,48909,0.32377777777777783,0.125,-1
109,48910,0.32900000000000007,0.125,-1
110,48911,0.3342222222222223,0.125,-1
111,48912,0.33944444444444455,0.125,-1
112,48913,0.3446666666666668,0.125,-1
113,48914,0.349888888888889,0.125,-1
114,48915,0.35511111111111127,0.125,-1
115,48916,0.3603333333333335,0.125,-1
116,48917,0.36555555555555574,0.125,-1
117,48918,0.370777777777778,0.125,-1
118,48919,0.3760000000000002,0.125,-1
119,48920,0.38122222222222246,0.125,-1
