,time,loc,op,stop
0,41762,0.0,0.0,-1
1,41763,0.0,0.075,54009
2,41764,0.0,0.075,54009
3,41765,0.0,0.075,54009
4,41766,0.0,0.075,54009
5,41767,0.0,0.075,54009
6,41768,0.0,0.075,54009
7,41769,0.0,0.075,54009
8,41770,0.0,0.075,54009
9,41771,0.0,0.075,54009
10,41772,0.0,0.075,54009
11,41773,0.0,0.075,54009
12,41774,0.0,0.075,54009
13,41775,0.0,0.075,54009
14,41776,0.0,0.075,54009
15,41777,0.0,0.075,54009
16,41778,0.0,0.075,54009
17,41779,0.0,0.075,54009
18,41780,0.0,0.075,54009
19,41781,0.0,0.075,54009
20,41782,0.0,0.075,54009
21,41783,0.0,0.075,54009
22,41784,0.0,0.075,54009
23,41785,0.0,0.075,54009
24,41786,0.0,0.075,54009
25,41787,0.0,0.075,54009
26,41788,0.0,0.075,54009
27,41789,0.0,0.075,54009
28,41790,0.0,0.075,54009
29,41791,0.005388888888888888,0.075,-1
30,41792,0.010777777777777777,0.075,-1
31,41793,0.016166666666666666,0.075,-1
32,41794,0.021555555555555553,0.075,-1
33,41795,0.02694444444444444,0.075,-1
34,41796,0.03233333333333333,0.075,-1
35,41797,0.03772222222222222,0.075,-1
36,41798,0.04311111111111111,0.075,-1
37,41799,0.048499999999999995,0.075,-1
38,41800,0.05388888888888888,0.075,-1
39,41801,0.05927777777777777,0.075,-1
40,41802,0.06466666666666666,0.075,-1
41,41803,0.07005555555555555,0.075,-1
42,41804,0.07544444444444444,0.075,-1
43,41805,0.08083333333333333,0.075,-1
44,41806,0.08622222222222221,0.075,-1
45,41807,0.0916111111111111,0.075,-1
46,41808,0.09699999999999999,0.075,-1
47,41809,0.10238888888888888,0.075,-1
48,41810,0.10777777777777776,0.075,-1
49,41811,0.11316666666666665,0.075,-1
50,41812,0.11855555555555554,0.075,-1
51,41813,0.12394444444444443,0.075,-1
52,41814,0.12933333333333333,0.075,-1
53,41815,0.13472222222222222,0.075,-1
54,41816,0.1401111111111111,0.075,-1
55,41817,0.1455,0.075,-1
56,41818,0.15088888888888888,0.075,-1
57,41819,0.15627777777777777,0.075,-1
58,41820,0.16166666666666665,0.075,-1
59,41821,0.16705555555555554,0.075,-1
60,41822,0.17244444444444443,0.075,-1
61,41823,0.17783333333333332,0.075,-1
62,41824,0.1832222222222222,0.075,-1
63,41825,0.1886111111111111,0.075,-1
64,41826,0.19399999999999998,0.075,-1
65,41827,0.19938888888888887,0.075,-1
66,41828,0.20477777777777775,0.075,-1
67,41829,0.21016666666666664,0.075,-1
68,41830,0.21555555555555553,0.075,-1
69,41831,0.22094444444444442,0.075,-1
70,41832,0.2263333333333333,0.075,-1
71,41833,0.2317222222222222,0.075,-1
72,41834,0.23711111111111108,0.075,-1
73,41835,0.24249999999999997,0.075,-1
74,41836,0.24788888888888885,0.075,-1
75,41837,0.25327777777777777,0.075,-1
76,41838,0.25866666666666666,0.075,-1
77,41839,0.26405555555555554,0.075,-1
78,41840,0.26944444444444443,0.075,-1
79,41841,0.2748333333333333,0.075,-1
80,41842,0.2802222222222222,0.075,-1
81,41843,0.2856111111111111,0.075,-1
82,41844,0.291,0.075,-1
83,41845,0.29638888888888887,0.075,-1
84,41846,0.30177777777777776,0.075,-1
85,41847,0.30716666666666664,0.075,-1
86,41848,0.31255555555555553,0.075,-1
87,41849,0.3179444444444444,0.075,-1
88,41850,0.3233333333333333,0.075,-1
89,41851,0.3287222222222222,0.075,-1
90,41852,0.3341111111111111,0.075,-1
91,41853,0.33949999999999997,0.075,-1
92,41854,0.34488888888888886,0.075,-1
93,41855,0.35027777777777774,0.075,-1
94,41856,0.35566666666666663,0.075,-1
95,41857,0.3610555555555555,0.075,-1
96,41858,0.3664444444444444,0.075,-1
97,41859,0.3718333333333333,0.075,-1
98,41860,0.3772222222222222,0.075,-1
99,41861,0.38261111111111107,0.075,-1
100,41862,0.38799999999999996,0.075,-1
101,41863,0.39338888888888884,0.075,-1
102,41864,0.39877777777777773,0.075,-1
103,41865,0.4041666666666666,0.075,-1
104,41866,0.4095555555555555,0.075,-1
105,41867,0.4149444444444444,0.075,-1
106,41868,0.4203333333333333,0.075,-1
107,41869,0.42572222222222217,0.075,-1
108,41870,0.43111111111111106,0.075,-1
109,41871,0.43649999999999994,0.075,-1
110,41872,0.44188888888888883,0.075,-1
111,41873,0.4472777777777777,0.075,-1
112,41874,0.4526666666666666,0.075,-1
113,41875,0.4580555555555555,0.075,-1
114,41876,0.4634444444444444,0.075,-1
