,time,loc,op,stop
0,42673,0.0,0.0,-1
1,42674,0.0,0.125,54009
2,42675,0.0,0.125,54009
3,42676,0.0,0.125,54009
4,42677,0.0,0.125,54009
5,42678,0.0,0.125,54009
6,42679,0.0,0.125,54009
7,42680,0.0,0.125,54009
8,42681,0.0,0.125,54009
9,42682,0.0,0.125,54009
10,42683,0.0,0.125,54009
11,42684,0.0,0.125,54009
12,42685,0.0,0.125,54009
13,42686,0.0,0.125,54009
14,42687,0.0,0.125,54009
15,42688,0.0,0.125,54009
16,42689,0.0,0.125,54009
17,42690,0.0,0.125,54009
18,42691,0.0,0.125,54009
19,42692,0.0,0.125,54009
20,42693,0.0,0.125,54009
21,42694,0.0,0.125,54009
22,42695,0.0,0.125,54009
23,42696,0.0,0.125,54009
24,42697,0.0,0.125,54009
25,42698,0.0,0.125,54009
26,42699,0.0,0.125,54009
27,42700,0.0,0.125,54009
28,42701,0.0,0.125,54009
29,42702,0.0,0.125,54009
30,42703,0.0,0.125,54009
31,42704,0.0,0.125,54009
32,42705,0.0,0.125,54009
33,42706,0.0,0.125,54009
34,42707,0.0,0.125,54009
35,42708,0.0,0.125,54009
36,42709,0.0,0.125,54009
37,42710,0.0,0.125,54009
38,42711,0.0,0.125,54009
39,42712,0.0,0.125,54009
40,42713,0.0,0.125,54009
41,42714,0.0,0.125,54009
42,42715,0.0,0.125,54009
43,42716,0.0,0.125,54009
44,42717,0.0,0.125,54009
45,42718,0.0,0.125,54009
46,42719,0.0,0.125,54009
47,42720,0.004277777777777778,0.125,-1
48,42721,0.008555555555555556,0.125,-1
49,42722,0.012833333333333334,0.125,-1
50,42723,0.01711111111111111,0.125,-1
51,42724,0.021388888888888888,0.125,-1
52,42725,0.025666666666666664,0.125,-1
53,42726,0.02994444444444444,0.125,-1
54,42727,0.034222222222222216,0.125,-1
55,42728,0.03849999999999999,0.125,-1
56,42729,0.04277777777777777,0.125,-1
57,42730,0.047055555555555545,0.125,-1
58,42731,0.05133333333333332,0.125,-1
59,42732,0.0556111111111111,0.125,-1
60,42733,0.05988888888888887,0.125,-1
61,42734,0.06416666666666665,0.125,-1
62,42735,0.06844444444444443,0.125,-1
63,42736,0.07272222222222222,0.125,-1
64,42737,0.077,0.125,-1
65,42738,0.08127777777777778,0.125,-1
66,42739,0.08555555555555557,0.125,-1
67,42740,0.08983333333333335,0.125,-1
68,42741,0.09411111111111113,0.125,-1
69,42742,0.09838888888888891,0.125,-1
70,42743,0.1026666666666667,0.125,-1
71,42744,0.10694444444444448,0.125,-1
72,42745,0.11122222222222226,0.125,-1
73,42746,0.11550000000000005,0.125,-1
74,42747,0.11977777777777783,0.125,-1
75,42748,0.12405555555555561,0.125,-1
76,42749,0.12833333333333338,0.125,-1
77,42750,0.13261111111111115,0.125,-1
78,42751,0.13688888888888892,0.125,-1
79,42752,0.1411666666666667,0.125,-1
80,42753,0.14544444444444446,0.125,-1
81,42754,0.14972222222222223,0.125,-1
82,42755,0.154,0.125,-1
83,42756,0.15827777777777777,0.125,-1
84,42757,0.16255555555555554,0.125,-1
85,42758,0.1668333333333333,0.125,-1
86,42759,0.17111111111111107,0.125,-1
87,42760,0.17538888888888884,0.125,-1
