,time,loc,op,stop
0,30331,0.0,0.0,-1
1,30332,0.0,0.025,54009
2,30333,0.0,0.025,54009
3,30334,0.0,0.025,54009
4,30335,0.0,0.025,54009
5,30336,0.0,0.025,54009
6,30337,0.0,0.025,54009
7,30338,0.0,0.025,54009
8,30339,0.0,0.025,54009
9,30340,0.0,0.025,54009
10,30341,0.0,0.025,54009
11,30342,0.005777777777777778,0.025,-1
12,30343,0.011555555555555557,0.025,-1
13,30344,0.017333333333333336,0.025,-1
14,30345,0.023111111111111114,0.025,-1
15,30346,0.02888888888888889,0.025,-1
16,30347,0.03466666666666667,0.025,-1
17,30348,0.04044444444444445,0.025,-1
18,30349,0.04622222222222223,0.025,-1
19,30350,0.052000000000000005,0.025,-1
20,30351,0.05777777777777778,0.025,-1
21,30352,0.06355555555555556,0.025,-1
22,30353,0.06933333333333334,0.025,-1
23,30354,0.07511111111111113,0.025,-1
24,30355,0.08088888888888891,0.025,-1
25,30356,0.0866666666666667,0.025,-1
26,30357,0.09244444444444448,0.025,-1
27,30358,0.09822222222222227,0.025,-1
28,30359,0.10400000000000005,0.025,-1
29,30360,0.10977777777777784,0.025,-1
30,30361,0.11555555555555562,0.025,-1
31,30362,0.1213333333333334,0.025,-1
32,30363,0.12711111111111117,0.025,-1
33,30364,0.13288888888888895,0.025,-1
34,30365,0.13866666666666672,0.025,-1
35,30366,0.1444444444444445,0.025,-1
36,30367,0.15022222222222226,0.025,-1
37,30368,0.15600000000000003,0.025,-1
38,30369,0.1617777777777778,0.025,-1
39,30370,0.16755555555555557,0.025,-1
40,30371,0.17333333333333334,0.025,-1
41,30372,0.1791111111111111,0.025,-1
42,30373,0.18488888888888888,0.025,-1
43,30374,0.19066666666666665,0.025,-1
44,30375,0.19644444444444442,0.025,-1
45,30376,0.2022222222222222,0.025,-1
46,30377,0.20799999999999996,0.025,-1
47,30378,0.21377777777777773,0.025,-1
48,30379,0.2195555555555555,0.025,-1
49,30380,0.22533333333333327,0.025,-1
50,30381,0.23111111111111104,0.025,-1
51,30382,0.23688888888888882,0.025,-1
52,30383,0.2426666666666666,0.025,-1
53,30384,0.24844444444444436,0.025,-1
54,30385,0.2542222222222221,0.025,-1
55,30386,0.2599999999999999,0.025,-1
56,30387,0.26577777777777767,0.025,-1
57,30388,0.27155555555555544,0.025,-1
58,30389,0.2773333333333332,0.025,-1
59,30390,0.283111111111111,0.025,-1
60,30391,0.28888888888888875,0.025,-1
61,30392,0.2946666666666665,0.025,-1
62,30393,0.3004444444444443,0.025,-1
63,30394,0.30622222222222206,0.025,-1
64,30395,0.31199999999999983,0.025,-1
65,30396,0.3177777777777776,0.025,-1
66,30397,0.3235555555555554,0.025,-1
67,30398,0.32933333333333314,0.025,-1
68,30399,0.3351111111111109,0.025,-1
69,30400,0.3408888888888887,0.025,-1
70,30401,0.34666666666666646,0.025,-1
71,30402,0.3524444444444442,0.025,-1
72,30403,0.358222222222222,0.025,-1
73,30404,0.36399999999999977,0.025,-1
74,30405,0.36977777777777754,0.025,-1
75,30406,0.3755555555555553,0.025,-1
76,30407,0.3813333333333331,0.025,-1
77,30408,0.38711111111111085,0.025,-1
78,30409,0.3928888888888886,0.025,-1
79,30410,0.3986666666666664,0.025,-1
80,30411,0.40444444444444416,0.025,-1
81,30412,0.41022222222222193,0.025,-1
82,30413,0.4159999999999997,0.025,-1
83,30414,0.4217777777777775,0.025,-1
84,30415,0.42755555555555524,0.025,-1
85,30416,0.433333333333333,0.025,-1
86,30417,0.4391111111111108,0.025,-1
87,30418,0.44488888888888856,0.025,-1
88,30419,0.4506666666666663,0.025,-1
89,30420,0.4564444444444441,0.025,-1
90,30421,0.46222222222222187,0.025,-1
91,30422,0.46799999999999964,0.025,-1
92,30423,0.4737777777777774,0.025,-1
93,30424,0.4795555555555552,0.025,-1
94,30425,0.48533333333333295,0.025,-1
95,30426,0.4911111111111107,0.025,-1
96,30427,0.4968888888888885,0.025,-1
97,30428,0.4968888888888885,0.06666666666666667,54339
98,30429,0.4968888888888885,0.06666666666666667,54339
99,30430,0.4968888888888885,0.06666666666666667,54339
100,30431,0.4968888888888885,0.06666666666666667,54339
101,30432,0.4968888888888885,0.06666666666666667,54339
102,30433,0.4968888888888885,0.06666666666666667,54339
103,30434,0.4968888888888885,0.06666666666666667,54339
104,30435,0.4968888888888885,0.06666666666666667,54339
105,30436,0.4968888888888885,0.06666666666666667,54339
106,30437,0.4968888888888885,0.06666666666666667,54339
107,30438,0.4968888888888885,0.06666666666666667,54339
108,30439,0.4968888888888885,0.06666666666666667,54339
109,30440,0.4968888888888885,0.06666666666666667,54339
110,30441,0.4968888888888885,0.06666666666666667,54339
111,30442,0.4968888888888885,0.06666666666666667,54339
112,30443,0.4968888888888885,0.06666666666666667,54339
113,30444,0.5026666666666663,0.06666666666666667,-1
114,30445,0.508444444444444,0.06666666666666667,-1
115,30446,0.5142222222222218,0.06666666666666667,-1
116,30447,0.5199999999999996,0.06666666666666667,-1
117,30448,0.5257777777777773,0.06666666666666667,-1
118,30449,0.5315555555555551,0.06666666666666667,-1
119,30450,0.5373333333333329,0.06666666666666667,-1
120,30451,0.5431111111111107,0.06666666666666667,-1
121,30452,0.5488888888888884,0.06666666666666667,-1
122,30453,0.5546666666666662,0.06666666666666667,-1
123,30454,0.560444444444444,0.06666666666666667,-1
124,30455,0.5662222222222217,0.06666666666666667,-1
125,30456,0.5719999999999995,0.06666666666666667,-1
126,30457,0.5777777777777773,0.06666666666666667,-1
127,30458,0.583555555555555,0.06666666666666667,-1
128,30459,0.5893333333333328,0.06666666666666667,-1
129,30460,0.5951111111111106,0.06666666666666667,-1
130,30461,0.6008888888888884,0.06666666666666667,-1
131,30462,0.6066666666666661,0.06666666666666667,-1
132,30463,0.6124444444444439,0.06666666666666667,-1
133,30464,0.6182222222222217,0.06666666666666667,-1
134,30465,0.6239999999999994,0.06666666666666667,-1
135,30466,0.6297777777777772,0.06666666666666667,-1
136,30467,0.635555555555555,0.06666666666666667,-1
137,30468,0.6413333333333328,0.06666666666666667,-1
138,30469,0.6471111111111105,0.06666666666666667,-1
139,30470,0.6528888888888883,0.06666666666666667,-1
140,30471,0.6586666666666661,0.06666666666666667,-1
141,30472,0.6644444444444438,0.06666666666666667,-1
142,30473,0.6702222222222216,0.06666666666666667,-1
143,30474,0.6759999999999994,0.06666666666666667,-1
144,30475,0.6817777777777771,0.06666666666666667,-1
145,30476,0.6875555555555549,0.06666666666666667,-1
146,30477,0.6933333333333327,0.06666666666666667,-1
147,30478,0.6991111111111105,0.06666666666666667,-1
148,30479,0.7048888888888882,0.06666666666666667,-1
149,30480,0.710666666666666,0.06666666666666667,-1
150,30481,0.7164444444444438,0.06666666666666667,-1
151,30482,0.7222222222222215,0.06666666666666667,-1
152,30483,0.7279999999999993,0.06666666666666667,-1
153,30484,0.7337777777777771,0.06666666666666667,-1
154,30485,0.7395555555555549,0.06666666666666667,-1
155,30486,0.7453333333333326,0.06666666666666667,-1
156,30487,0.7511111111111104,0.06666666666666667,-1
157,30488,0.7568888888888882,0.06666666666666667,-1
158,30489,0.7626666666666659,0.06666666666666667,-1
159,30490,0.7684444444444437,0.06666666666666667,-1
160,30491,0.7742222222222215,0.06666666666666667,-1
161,30492,0.7799999999999992,0.06666666666666667,-1
162,30493,0.785777777777777,0.06666666666666667,-1
163,30494,0.7915555555555548,0.06666666666666667,-1
164,30495,0.7973333333333326,0.06666666666666667,-1
165,30496,0.8031111111111103,0.06666666666666667,-1
166,30497,0.8088888888888881,0.06666666666666667,-1
167,30498,0.8146666666666659,0.06666666666666667,-1
168,30499,0.8204444444444436,0.06666666666666667,-1
169,30500,0.8262222222222214,0.06666666666666667,-1
170,30501,0.8319999999999992,0.06666666666666667,-1
171,30502,0.837777777777777,0.06666666666666667,-1
172,30503,0.8435555555555547,0.06666666666666667,-1
173,30504,0.8493333333333325,0.06666666666666667,-1
174,30505,0.8551111111111103,0.06666666666666667,-1
175,30506,0.860888888888888,0.06666666666666667,-1
176,30507,0.8666666666666658,0.06666666666666667,-1
177,30508,0.8724444444444436,0.06666666666666667,-1
178,30509,0.8782222222222213,0.06666666666666667,-1
179,30510,0.8839999999999991,0.06666666666666667,-1
180,30511,0.8897777777777769,0.06666666666666667,-1
181,30512,0.8955555555555547,0.06666666666666667,-1
182,30513,0.8955555555555547,0.06666666666666667,54329
183,30514,0.8955555555555547,0.06666666666666667,54329
184,30515,0.8955555555555547,0.06666666666666667,54329
185,30516,0.8955555555555547,0.06666666666666667,54329
186,30517,0.8955555555555547,0.06666666666666667,54329
187,30518,0.8955555555555547,0.06666666666666667,54329
188,30519,0.8955555555555547,0.06666666666666667,54329
189,30520,0.8955555555555547,0.06666666666666667,54329
190,30521,0.8955555555555547,0.06666666666666667,54329
191,30522,0.8955555555555547,0.06666666666666667,54329
192,30523,0.8955555555555547,0.06666666666666667,54329
193,30524,0.8955555555555547,0.06666666666666667,54329
194,30525,0.8955555555555547,0.06666666666666667,54329
195,30526,0.8955555555555547,0.06666666666666667,54329
196,30527,0.8955555555555547,0.06666666666666667,54329
197,30528,0.8955555555555547,0.06666666666666667,54329
198,30529,0.8955555555555547,0.06666666666666667,54329
199,30530,0.9013333333333324,0.06666666666666667,-1
200,30531,0.9071111111111102,0.06666666666666667,-1
201,30532,0.912888888888888,0.06666666666666667,-1
202,30533,0.9186666666666657,0.06666666666666667,-1
203,30534,0.9244444444444435,0.06666666666666667,-1
204,30535,0.9302222222222213,0.06666666666666667,-1
205,30536,0.935999999999999,0.06666666666666667,-1
