,time,loc,op,status
0,35962,0.0,0.0,0
1,35963,0.0,0.075,0
2,35964,0.0,0.075,0
3,35965,0.0,0.075,0
4,35966,0.0,0.075,0
5,35967,0.0,0.075,0
6,35968,0.0,0.075,0
7,35969,0.0,0.075,0
8,35970,0.0,0.075,0
9,35971,0.0,0.075,0
10,35972,0.0,0.075,0
11,35973,0.0,0.075,0
12,35974,0.0,0.075,0
13,35975,0.0,0.075,0
14,35976,0.0,0.075,0
15,35977,0.0,0.075,0
16,35978,0.0,0.075,0
17,35979,0.0,0.075,0
18,35980,0.0,0.075,0
19,35981,0.0,0.075,0
20,35982,0.0,0.075,0
21,35983,0.0,0.075,0
22,35984,0.0,0.075,0
23,35985,0.0,0.075,0
24,35986,0.0,0.075,0
25,35987,0.0,0.075,0
26,35988,0.0,0.075,0
27,35989,0.0,0.075,0
28,35990,0.0,0.075,0
29,35991,0.0,0.075,0
30,35992,0.0,0.075,0
31,35993,0.0,0.075,0
32,35994,0.0,0.075,0
33,35995,0.0,0.075,0
34,35996,0.0,0.075,0
35,35997,0.0,0.075,0
36,35998,0.0,0.075,0
37,35999,0.004837310576683997,0.075,0
38,36000,0.009674621153367993,0.075,0
39,36001,0.01451193173005199,0.075,0
40,36002,0.019349242306735986,0.075,0
41,36003,0.024186552883419983,0.075,0
42,36004,0.02902386346010398,0.075,0
43,36005,0.033861174036787976,0.075,0
44,36006,0.03869848461347197,0.075,0
45,36007,0.04353579519015597,0.075,0
46,36008,0.048373105766839966,0.075,0
47,36009,0.05321041634352396,0.075,0
48,36010,0.05804772692020796,0.075,0
49,36011,0.06288503749689195,0.075,0
50,36012,0.06772234807357594,0.075,0
51,36013,0.07255965865025993,0.075,0
52,36014,0.07739696922694392,0.075,0
53,36015,0.08223427980362791,0.075,0
54,36016,0.0870715903803119,0.075,0
55,36017,0.09190890095699589,0.075,0
56,36018,0.09674621153367988,0.075,0
57,36019,0.10158352211036387,0.075,0
58,36020,0.10642083268704786,0.075,0
59,36021,0.11125814326373185,0.075,0
60,36022,0.11609545384041584,0.075,0
61,36023,0.12093276441709983,0.075,0
62,36024,0.12577007499378381,0.075,0
63,36025,0.1306073855704678,0.075,0
64,36026,0.1354446961471518,0.075,0
65,36027,0.14028200672383578,0.075,0
66,36028,0.14511931730051977,0.075,0
67,36029,0.14995662787720376,0.075,0
68,36030,0.15479393845388775,0.075,0
69,36031,0.15963124903057174,0.075,0
70,36032,0.16446855960725573,0.075,0
71,36033,0.16930587018393972,0.075,0
72,36034,0.1741431807606237,0.075,0
73,36035,0.1789804913373077,0.075,0
74,36036,0.1838178019139917,0.075,0
75,36037,0.18865511249067568,0.075,0
76,36038,0.19349242306735967,0.075,0
77,36039,0.19832973364404366,0.075,0
78,36040,0.20316704422072765,0.075,0
79,36041,0.20800435479741164,0.075,0
80,36042,0.21284166537409563,0.075,0
81,36043,0.21767897595077962,0.075,0
82,36044,0.2225162865274636,0.075,0
83,36045,0.2273535971041476,0.075,0
84,36046,0.2321909076808316,0.075,0
85,36047,0.23702821825751558,0.075,0
86,36048,0.24186552883419957,0.075,0
87,36049,0.24670283941088356,0.075,0
88,36050,0.2515401499875676,0.075,0
