,time,loc,op,status
288,65067,0.8954539302644478,0.24166666666666667,0
289,65068,0.8954539302644478,0.24166666666666667,0
290,65069,0.8954539302644478,0.24166666666666667,0
291,65070,0.8954539302644478,0.24166666666666667,0
292,65071,0.8954539302644478,0.24166666666666667,0
293,65072,0.8954539302644478,0.24166666666666667,0
294,65073,0.8954539302644478,0.24166666666666667,0
295,65074,0.9006015360521161,0.24166666666666667,0
296,65075,0.9057491418397845,0.24166666666666667,0
297,65076,0.9108967476274529,0.24166666666666667,0
298,65077,0.9160443534151212,0.24166666666666667,0
299,65078,0.9211919592027896,0.24166666666666667,0
300,65079,0.926339564990458,0.24166666666666667,0
301,65080,0.9314871707781264,0.24166666666666667,0
302,65081,0.9366347765657947,0.24166666666666667,0
303,65082,0.9417823823534631,0.24166666666666667,0
304,65083,0.9469299881411315,0.24166666666666667,0
305,65084,0.9520775939287999,0.24166666666666667,0
306,65085,0.9572251997164682,0.24166666666666667,0
307,65086,0.9623728055041366,0.24166666666666667,0
308,65087,0.967520411291805,0.24166666666666667,0
309,65088,0.9726680170794734,0.24166666666666667,0
310,65089,0.9778156228671417,0.24166666666666667,0
311,65090,0.9829632286548101,0.24166666666666667,0
312,65091,0.9881108344424785,0.24166666666666667,0
313,65092,0.9932584402301469,0.24166666666666667,0
314,65093,0.9984060460178152,0.24166666666666667,0
315,65094,1.0035536518054835,0.24166666666666667,0
316,65095,1.0087012575931518,0.24166666666666667,0
317,65096,1.01384886338082,0.24166666666666667,0
318,65097,1.0189964691684883,0.24166666666666667,0
319,65098,1.0241440749561566,0.24166666666666667,0
320,65099,1.0292916807438248,0.24166666666666667,0
321,65100,1.034439286531493,0.24166666666666667,0
322,65101,1.0395868923191613,0.24166666666666667,0
323,65102,1.0447344981068296,0.24166666666666667,0
324,65103,1.0498821038944979,0.24166666666666667,0
325,65104,1.0550297096821661,0.24166666666666667,0
326,65105,1.0601773154698344,0.24166666666666667,0
327,65106,1.0653249212575027,0.24166666666666667,0
328,65107,1.070472527045171,0.24166666666666667,0
329,65108,1.0756201328328392,0.24166666666666667,0
330,65109,1.0807677386205075,0.24166666666666667,0
331,65110,1.0859153444081757,0.24166666666666667,0
332,65111,1.091062950195844,0.24166666666666667,0
333,65112,1.0962105559835122,0.24166666666666667,0
334,65113,1.1013581617711805,0.24166666666666667,0
335,65114,1.1065057675588488,0.24166666666666667,0
336,65115,1.111653373346517,0.24166666666666667,0
337,65116,1.1168009791341853,0.24166666666666667,0
338,65117,1.1219485849218536,0.24166666666666667,0
339,65118,1.1270961907095218,0.24166666666666667,0
340,65119,1.13224379649719,0.24166666666666667,0
341,65120,1.1373914022848584,0.24166666666666667,0
342,65121,1.1425390080725266,0.24166666666666667,0
343,65122,1.1476866138601949,0.24166666666666667,0
344,65123,1.1528342196478631,0.24166666666666667,0
345,65124,1.1579818254355314,0.24166666666666667,0
346,65125,1.1631294312231997,0.24166666666666667,0
347,65126,1.168277037010868,0.24166666666666667,0
348,65127,1.1734246427985362,0.24166666666666667,0
349,65128,1.1785722485862045,0.24166666666666667,0
350,65129,1.1837198543738727,0.24166666666666667,0
351,65130,1.188867460161541,0.24166666666666667,0
352,65131,1.1940150659492093,0.24166666666666667,0
353,65132,1.1991626717368775,0.24166666666666667,0
354,65133,1.1991626717368775,0.24166666666666667,0
355,65134,1.1991626717368775,0.24166666666666667,0
356,65135,1.1991626717368775,0.24166666666666667,0
357,65136,1.1991626717368775,0.24166666666666667,0
358,65137,1.1991626717368775,0.24166666666666667,0
359,65138,1.1991626717368775,0.24166666666666667,0
360,65139,1.1991626717368775,0.24166666666666667,0
361,65140,1.1991626717368775,0.24166666666666667,0
362,65141,1.1991626717368775,0.24166666666666667,0
363,65142,1.1991626717368775,0.24166666666666667,0
364,65143,1.1991626717368775,0.24166666666666667,0
365,65144,1.1991626717368775,0.24166666666666667,0
366,65145,1.1991626717368775,0.24166666666666667,0
367,65146,1.1991626717368775,0.24166666666666667,0
368,65147,1.1991626717368775,0.24166666666666667,0
369,65148,1.2041319315352752,0.24166666666666667,0
370,65149,1.2091011913336729,0.24166666666666667,0
371,65150,1.2140704511320706,0.24166666666666667,0
372,65151,1.2190397109304683,0.24166666666666667,0
373,65152,1.224008970728866,0.24166666666666667,0
374,65153,1.2289782305272636,0.24166666666666667,0
375,65154,1.2339474903256613,0.24166666666666667,0
376,65155,1.238916750124059,0.24166666666666667,0
377,65156,1.2438860099224567,0.24166666666666667,0
378,65157,1.2488552697208544,0.24166666666666667,0
379,65158,1.253824529519252,0.24166666666666667,0
380,65159,1.2587937893176497,0.24166666666666667,0
